Period,Total
1-Jan-2000,49045412
1-Feb-2000,49306303
1-Mar-2000,60443541
1-Apr-2000,58286680
1-May-2000,60533783
1-Jun-2000,64903295
1-Jul-2000,67346377
1-Aug-2000,66256804
1-Sep-2000,55900504
1-Oct-2000,58373996
1-Nov-2000,55590325
1-Dec-2000,54822970
1-Jan-2001,52634354
1-Feb-2001,49532578
1-Mar-2001,61575055
1-Apr-2001,59151645
1-May-2001,59662416
1-Jun-2001,64353323
1-Jul-2001,67965241
1-Aug-2001,68376612
1-Sep-2001,38601717
1-Oct-2001,43964770
1-Nov-2001,44915764
1-Dec-2001,47819118
1-Jan-2002,46224031
1-Feb-2002,44604154
1-Mar-2002,56897722
1-Apr-2002,52542164
1-May-2002,55116060
1-Jun-2002,59745334
1-Jul-2002,62664504
1-Aug-2002,62944802
1-Sep-2002,49096033
1-Oct-2002,54019748
1-Nov-2002,50105232
1-Dec-2002,56656594
1-Jan-2003,51197175
1-Feb-2003,47040806
1-Mar-2003,56765848
1-Apr-2003,51857179
1-May-2003,54335598
1-Jun-2003,60272900
1-Jul-2003,65962215
1-Aug-2003,64989766
1-Sep-2003,52121480
1-Oct-2003,56724442
1-Nov-2003,54128776
1-Dec-2003,58739845
1-Jan-2004,53979780
1-Feb-2004,53179685
1-Mar-2004,64035863
1-Apr-2004,62340117
1-May-2004,62530704
1-Jun-2004,68866389
1-Jul-2004,73335888
1-Aug-2004,70961513
1-Sep-2004,57881031
1-Oct-2004,63021122
1-Nov-2004,59453941
1-Dec-2004,62680310
1-Jan-2005,59629608
1-Feb-2005,55795165
1-Mar-2005,70595861
1-Apr-2005,65145550
1-May-2005,68268899
1-Jun-2005,72952958
1-Jul-2005,77432998
1-Aug-2005,73778917
1-Sep-2005,62046797
1-Oct-2005,63640895
1-Nov-2005,61518984
1-Dec-2005,64289340
1-Jan-2006,61035027
1-Feb-2006,56729212
1-Mar-2006,70799794
1-Apr-2006,68120558
1-May-2006,69352605
1-Jun-2006,74085927
1-Jul-2006,77798585
1-Aug-2006,74227040
1-Sep-2006,62345732
1-Oct-2006,66082158
1-Nov-2006,63548729
1-Dec-2006,65980779
1-Jan-2007,63016013
1-Feb-2007,57793832
1-Mar-2007,72700241
1-Apr-2007,69836156
1-May-2007,71933109
1-Jun-2007,76926452
1-Jul-2007,80988340
1-Aug-2007,79439827
1-Sep-2007,65913298
1-Oct-2007,69445349
1-Nov-2007,66250428
1-Dec-2007,67782533
1-Jan-2008,64667106
1-Feb-2008,61504426
1-Mar-2008,74575531
1-Apr-2008,68906881
1-May-2008,72725749
1-Jun-2008,76162104
1-Jul-2008,79707545
1-Aug-2008,77300567
1-Sep-2008,61198749
1-Oct-2008,65018204
1-Nov-2008,58512623
1-Dec-2008,63503416
1-Jan-2009,58373783
1-Feb-2009,53506580
1-Mar-2009,66027341
1-Apr-2009,65166298
1-May-2009,65868253
1-Jun-2009,71350226
1-Jul-2009,77136797
1-Aug-2009,74614770
1-Sep-2009,61435354
1-Oct-2009,64274739
1-Nov-2009,59011015
1-Dec-2009,63231672
1-Jan-2010,59651061
1-Feb-2010,53240065
1-Mar-2010,68307089
1-Apr-2010,64953249
1-May-2010,68850904
1-Jun-2010,74474550
1-Jul-2010,79304441
1-Aug-2010,76741308
1-Sep-2010,65341294
1-Oct-2010,69071625
1-Nov-2010,63334290
1-Dec-2010,65797939
1-Jan-2011,61630362
1-Feb-2011,55391206
1-Mar-2011,70158268
1-Apr-2011,67683558
1-May-2011,71711447
1-Jun-2011,76057910
1-Jul-2011,81423230
1-Aug-2011,77247893
1-Sep-2011,66345317
1-Oct-2011,68177878
1-Nov-2011,63492941
1-Dec-2011,66595642
1-Jan-2012,61940192
1-Feb-2012,58243794
1-Mar-2012,71696202
1-Apr-2012,68668302
1-May-2012,71887531
1-Jun-2012,76760758
1-Jul-2012,80499331
1-Aug-2012,78609006
1-Sep-2012,66007760
1-Oct-2012,67677764
1-Nov-2012,64039209
1-Dec-2012,66702988
1-Jan-2013,63139218
1-Feb-2013,58109870
1-Mar-2013,72764478
1-Apr-2013,68453537
1-May-2013,73574534
1-Jun-2013,78467131
1-Jul-2013,81974582
1-Aug-2013,80007788
1-Sep-2013,67203059
1-Oct-2013,69727370
1-Nov-2013,63611195
1-Dec-2013,70967038
1-Jan-2014,64743622
1-Feb-2014,58474895
1-Mar-2014,74237172
1-Apr-2014,71278692
1-May-2014,75712694
1-Jun-2014,80063355
1-Jul-2014,84404541
1-Aug-2014,81957559
1-Sep-2014,69028857
1-Oct-2014,71887841
1-Nov-2014,65654285
1-Dec-2014,72233639
1-Jan-2015,66538427
1-Feb-2015,60331343
1-Mar-2015,76271051
1-Apr-2015,73607258
1-May-2015,78502353
1-Jun-2015,83253406
1-Jul-2015,88951665
1-Aug-2015,85855967
1-Sep-2015,73017729
1-Oct-2015,76678056
1-Nov-2015,70460064
1-Dec-2015,75327875
1-Jan-2016,69778658
1-Feb-2016,65026219
1-Mar-2016,79121758
1-Apr-2016,75617423
1-May-2016,81226985
1-Jun-2016,87042101
1-Jul-2016,91256833
1-Aug-2016,86708517
1-Sep-2016,75735169
1-Oct-2016,77790769
1-Nov-2016,72625058
1-Dec-2016,77310977
1-Jan-2017,71876269
1-Feb-2017,64666059
1-Mar-2017,81311996
1-Apr-2017,79935852
1-May-2017,83939004
1-Jun-2017,90130481
1-Jul-2017,94641122
1-Aug-2017,90980861
1-Sep-2017,75092288
1-Oct-2017,81168038
1-Nov-2017,76124199
1-Dec-2017,80037670
1-Jan-2018,73795632
1-Feb-2018,68674042
1-Mar-2018,86103036
1-Apr-2018,83009398
1-May-2018,88525057
1-Jun-2018,94917274
1-Jul-2018,99373375
1-Aug-2018,95268223
1-Sep-2018,79470508
1-Oct-2018,84870973
1-Nov-2018,79928178
1-Dec-2018,83057947
1-Jan-2019,77332543
1-Feb-2019,71114995
1-Mar-2019,90468975
1-Apr-2019,86675238
1-May-2019,92967337
1-Jun-2019,98264340
1-Jul-2019,102282464
1-Aug-2019,98397810
1-Sep-2019,83798763
1-Oct-2019,88190827
1-Nov-2019,80993251
1-Dec-2019,90371201
1-Jan-2020,81511977
1-Feb-2020,74398772
